"--large-name21--","commitUserVm(DataCenter,VirtualMachineTemplate,String,String,Account,Long,Long,String,HypervisorType,Account,Boolean,String,long,ServiceOfferingVO,boolean,String,LinkedHashMap<String,NicProfile>,long,String,String,HypervisorType,Map<String,String>)"
"--large-name9--","createNetworkOffering(String,String,TrafficType,String,boolean,Availability,Integer,Map<Service,Set<Provider>>,boolean,GuestType,boolean,Long,boolean,Map<Service,Map<Capability,String>>,boolean,boolean,Map<NetworkOffering.Detail,String>,boolean,Integer)"
"--large-name30--","createBasicSecurityGroupVirtualMachine(DataCenter,ServiceOffering,VirtualMachineTemplate,List<Long>,Account,String,String,Long,Long,String,HypervisorType,HTTPMethod,String,String,Map<Long,IpAddresses>,IpAddresses,Boolean,String,List<Long>,Map<String,String>)"
"--large-name14--","createAdvancedVirtualMachine(DataCenter,ServiceOffering,VirtualMachineTemplate,List<Long>,Account,String,String,Long,Long,String,HypervisorType,HTTPMethod,String,String,Map<Long,IpAddresses>,IpAddresses,Boolean,String,List<Long>,Integer,Integer,Integer,Long)"
"--large-name13--","createAdvancedSecurityGroupVirtualMachine(DataCenter,ServiceOffering,VirtualMachineTemplate,List<Long>,List<Long>,Account,String,String,Long,Long,String,HypervisorType,HTTPMethod,String,String,Map<Long,IpAddresses>,IpAddresses,Boolean,String,List<Long>,Integer,Integer,Integer,Long)"
"--large-name4--","createAdvancedSecurityGroupVirtualMachine(DataCenter,ServiceOffering,VirtualMachineTemplate,List<Long>,List<Long>,Account,String,String,Long,Long,String,HypervisorType,HTTPMethod,String,String,Map<Long,IpAddresses>,IpAddresses,Boolean,String,List<Long>)"
"--large-name5--","createVirtualMachine(DataCenter,ServiceOffering,VirtualMachineTemplate,String,String,Account,Long,Long,List<NetworkVO>,List<Long>,String,HTTPMethod,String,String,HypervisorType,Account,Map<Long,IpAddresses>,IpAddresses,Boolean,String,List<Long>)"
"--large-name27--","dbIntroduceAsync(Connection,String,Network,Host,String,Long,Long,Boolean,Types.IpConfigurationMode,String,String,String,String,Bond,VLAN,Boolean,Map<String,String>,Boolean,Types.Ipv6ConfigurationMode,Set<String>,String,Types.PrimaryAddressType,Boolean)"
"--large-name8--","createNetworkOffering(String,String,TrafficType,String,boolean,Availability,Integer,Map<Service,Set<Provider>>,boolean,Network.GuestType,boolean,Long,boolean,Map<Service,Map<Capability,String>>,boolean,boolean,Map<NetworkOffering.Detail,String>,boolean,Integer)"
"--large-name19--","createBasicSecurityGroupVirtualMachine(DataCenter,ServiceOffering,VirtualMachineTemplate,List<Long>,Account,String,String,Long,Long,String,HypervisorType,HTTPMethod,String,String,Map<Long,IpAddresses>,IpAddresses,Boolean,String,List<Long>,Integer,Integer,Integer,Long,String)"
